City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,kawalu,32,ID,1517957615,96,-7.38,108.21,66.92,2.39
117,hobyo,0,SO,1517957615,79,5.35,48.53,72.86,23.31
118,shimoda,0,JP,1517957615,100,34.7,138.93,41.0,26.55
119,basar,92,IN,1517957616,96,27.98,94.69,53.37,1.39
120,petropavlovsk-kamchatskiy,40,RU,1517954400,92,53.05,158.65,24.8,4.47
121,sorgun,12,TR,1517957616,76,39.81,35.19,28.49,1.5
122,lalibela,0,ET,1517957617,57,12.04,39.05,40.19,2.62
123,ostrovnoy,8,RU,1517957617,76,68.05,39.51,5.22,11.23
124,awjilah,64,LY,1517957617,41,29.14,21.3,64.76,5.53
125,tasiilaq,56,GL,1517953800,85,65.61,-37.64,21.2,59.73
126,airai,48,TL,1517957618,91,-8.93,125.41,73.17,1.16
127,bluff,0,AU,1517957618,46,-23.58,149.07,80.64,14.03
128,hobart,0,AU,1517954400,52,-42.88,147.33,69.8,8.05
129,butaritari,0,KI,1517957319,98,3.07,172.79,82.67,17.16
130,hope,90,CA,1517956740,93,49.38,-121.43,35.6,1.95
131,paulo afonso,92,BR,1517957619,64,-9.4,-38.23,84.92,3.06
132,puerto colombia,0,CO,1517954400,69,10.99,-74.96,82.4,12.75
133,namatanai,64,PG,1517957620,100,-3.66,152.44,83.34,12.57
134,lodja,64,CD,1517957620,82,-3.52,23.6,74.79,2.51
135,arraial do cabo,40,BR,1517954400,83,-22.97,-42.02,75.2,10.29
136,gizo,0,IL,1517955600,81,31.8,34.94,51.8,1.12
137,atambua,44,ID,1517957621,100,-9.11,124.89,78.12,3.51
138,pisco,40,PE,1517954400,83,-13.71,-76.2,73.4,6.93
139,nara,20,JP,1517954400,57,34.68,135.8,32.0,5.82
140,jiangyou,88,CN,1517957622,91,31.78,104.73,29.66,2.95
141,waingapu,0,ID,1517957622,89,-9.65,120.26,78.44,5.75
142,anadyr,0,RU,1517954400,71,64.73,177.51,8.6,4.47
143,katobu,80,ID,1517957623,92,-4.94,122.53,82.67,9.22
144,avarua,75,CK,1517954400,74,-21.21,-159.78,82.4,10.29
145,cognac,90,FR,1517956200,80,45.69,-0.33,33.8,2.24
146,dondo,20,MZ,1517954400,83,-19.62,34.74,80.6,3.18
147,port blair,0,IN,1517957624,100,11.67,92.75,80.91,8.1
148,dharchula,64,IN,1517957624,80,29.85,80.53,27.05,1.72
149,alta floresta,88,BR,1517957625,97,-9.87,-56.08,71.37,2.06
150,ritchie,92,ZA,1517954400,77,-29.03,24.6,66.2,5.82
151,rosario do sul,0,BR,1517957625,75,-30.26,-54.91,75.69,4.18
152,guerrero negro,88,MX,1517957626,56,27.97,-114.04,70.02,7.65
153,kahului,40,US,1517954160,78,20.89,-156.47,75.2,14.99
154,kondinskoye,64,RU,1517957626,78,59.65,67.41,9.86,3.4
155,grindavik,75,IS,1517954400,100,63.84,-22.43,32.0,33.33
156,fort-shevchenko,92,KZ,1517957627,100,44.51,50.26,33.89,15.26
157,norman wells,20,CA,1517954400,76,65.28,-126.83,-9.41,2.24
158,pinheiro,64,BR,1517957628,94,-2.53,-45.09,76.1,3.06
159,sinnamary,8,GF,1517957628,92,5.38,-52.96,79.61,8.77
160,santa vitoria do palmar,0,BR,1517957628,78,-33.52,-53.37,73.76,14.03
161,codrington,64,AU,1517957629,77,-28.95,153.24,72.27,5.64
162,nikolskoye,90,RU,1517954400,92,59.7,30.79,14.0,8.95
163,lompoc,1,US,1517956500,33,34.64,-120.46,84.2,5.82
164,razole,24,IN,1517957630,100,16.48,81.84,74.66,2.06
165,imeni poliny osipenko,20,RU,1517957630,54,52.42,136.49,-18.63,3.18
166,saint-pierre,90,FR,1517956200,97,48.95,4.24,33.8,9.1
167,sorong,80,ID,1517957631,100,-0.86,131.25,77.94,4.18
168,japura,68,ID,1517957632,93,-0.42,102.29,73.17,2.39
169,iquitos,75,PE,1517954400,79,-3.75,-73.25,84.2,4.7
170,tiarei,75,PF,1517956200,66,-17.53,-149.33,86.0,9.17
171,dikson,0,RU,1517957633,77,73.51,80.55,19.67,18.72
172,port alfred,92,ZA,1517957548,84,-33.59,26.89,70.88,11.56
173,gamovo,75,RU,1517954400,62,57.87,56.11,24.8,4.47
174,north bend,1,US,1517955300,81,43.41,-124.22,53.6,8.05
175,puerto baquerizo moreno,20,EC,1517954400,69,-0.9,-89.6,82.4,13.87
176,lasa,32,CY,1517956200,81,34.92,32.53,53.6,4.7
177,upernavik,56,GL,1517957635,100,72.79,-56.15,0.72,4.07
178,kuybysheve,76,UA,1517957635,95,47.36,36.65,27.09,3.51
179,oussouye,80,SN,1517957635,70,12.49,-16.54,73.71,14.47
180,cabo san lucas,90,MX,1517953740,47,22.89,-109.91,80.6,6.93
181,hamilton,40,BM,1517954100,72,32.3,-64.78,66.2,10.29
182,koumac,20,NC,1517957636,67,-20.56,164.28,82.76,8.99
